"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Everyday Checking","","01/04/2026","Acme Payroll","Inflow: Ready to Assign","Inflow","Ready to Assign","Monthly salary","$0.00","$6,840.00","Reconciled"
"Everyday Checking","","02/04/2026","Transfer : Metro Loan","","","","Loan repayment transfer","$420.00","$0.00","Reconciled"
"Metro Loan","","02/04/2026","Transfer : Everyday Checking","","","","Loan repayment transfer","$0.00","$420.00","Reconciled"
"Everyday Checking","","03/04/2026","Transfer : Coastline Visa","","","","Credit card payment","$720.00","$0.00","Reconciled"
"Coastline Visa","","03/04/2026","Transfer : Everyday Checking","","","","Credit card payment","$0.00","$720.00","Reconciled"
"Coastline Visa","","04/04/2026","FreshMart","Essentials: Market Groceries","Essentials","Market Groceries","Weekly groceries","$178.64","$0.00","Cleared"
"Coastline Visa","","05/04/2026","Corner Bean","Essentials: Morning Coffee","Essentials","Morning Coffee","Flat white","$6.20","$0.00","Cleared"
"Everyday Checking","","05/04/2026","Northline Rentals","Home Base: Apartment Rent","Home Base","Apartment Rent","April rent","$2,310.00","$0.00","Reconciled"
"Coastline Visa","","06/04/2026","QuickBites","Essentials: Team Lunches","Essentials","Team Lunches","Office lunch","$24.80","$0.00","Cleared"
"Everyday Checking","","07/04/2026","Grid Energy","Home Base: Electricity","Home Base","Electricity","Quarterly bill","$142.55","$0.00","Cleared"
"Everyday Checking","","08/04/2026","FiberNet","Home Base: Internet","Home Base","Internet","Broadband plan","$82.00","$0.00","Cleared"
"Coastline Visa","","09/04/2026","Transit NSW","Mobility: Rail Commute","Mobility","Rail Commute","Tap fare","$12.40","$0.00","Cleared"
"Coastline Visa","","10/04/2026","Transit NSW","Mobility: Rail Commute","Mobility","Rail Commute","Tap fare","$10.80","$0.00","Cleared"
"Everyday Checking","","11/04/2026","KinderHub","Family Life: Childcare","Family Life","Childcare","Weekly childcare","$388.00","$0.00","Cleared"
"Coastline Visa","","12/04/2026","EduPlay Club","Family Life: School Clubs","Family Life","School Clubs","Term activity fee","$57.50","$0.00","Cleared"
"Coastline Visa","","13/04/2026","FuelPoint","Mobility: Car Fuel","Mobility","Car Fuel","Petrol","$69.44","$0.00","Cleared"
"Coastline Visa","","14/04/2026","Medicor Pharmacy","Health: Pharmacy","Health","Pharmacy","Prescription","$33.90","$0.00","Cleared"
"Coastline Visa","","15/04/2026","Shield Health","Health: Health Cover","Health","Health Cover","Insurance premium","$265.40","$0.00","Reconciled"
"Coastline Visa","","16/04/2026","Noodle Spot","Leisure: Dining Out","Leisure","Dining Out","Dinner with friends","$44.60","$0.00","Cleared"
"Coastline Visa","","17/04/2026","StreamBox","Leisure: Streaming Bundle","Leisure","Streaming Bundle","Monthly subscription","$18.99","$0.00","Reconciled"
"Everyday Checking","","18/04/2026","City Pantry","Essentials: Market Groceries","Essentials","Market Groceries","Mid-week groceries","$86.25","$0.00","Cleared"
"Everyday Checking","","19/04/2026","Transfer : Rainy Day Saver","","","","Monthly savings transfer","$500.00","$0.00","Reconciled"
"Rainy Day Saver","","19/04/2026","Transfer : Everyday Checking","","","","Monthly savings transfer","$0.00","$500.00","Reconciled"
"Everyday Checking","","20/04/2026","Metro Loan Services","Finance: Personal Loan Installment","Finance","Personal Loan Installment","Scheduled loan payment","$420.00","$0.00","Reconciled"
"Coastline Visa","","21/04/2026","Bank Interest","Finance: Card Interest","Finance","Card Interest","Monthly card interest","$11.78","$0.00","Reconciled"
"Everyday Checking","","22/04/2026","Community Kitchen","Giving: Local Donation","Giving","Local Donation","Community support","$35.00","$0.00","Cleared"
"Everyday Checking","","23/04/2026","Adventure Fund","Goals: Vacation Savings","Goals","Vacation Savings","Trip sinking fund","$140.00","$0.00","Cleared"
"Everyday Checking","","24/04/2026","Safety Fund","Goals: Emergency Buffer","Goals","Emergency Buffer","Emergency top-up","$210.00","$0.00","Cleared"
"Coastline Visa","","25/04/2026","QuickBites","Essentials: Team Lunches","Essentials","Team Lunches","Lunch combo","$17.40","$0.00","Cleared"
"Coastline Visa","","27/04/2026","FreshMart","Essentials: Market Groceries","Essentials","Market Groceries","Top-up groceries","$62.18","$0.00","Cleared"
